YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER,TAIL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY
2020,1,1,3,01/01/20,WN,WN,N8507C,PDX,LAX,1835,1859,24,2100,2058,-2
2020,1,1,3,01/01/20,WN,WN,N453WN,PDX,LAX,605,616,11,830,819,-11
2020,1,1,3,01/01/20,WN,WN,N440LV,PHX,LAX,2255,2305,10,2315,2323,8
2020,1,1,3,01/01/20,WN,WN,N8571Z,PHX,LAX,1705,1731,26,1735,1743,8
2020,1,1,3,01/01/20,WN,WN,N7731A,PHX,LAX,1335,1329,-6,1405,1349,-16
2020,1,1,3,01/01/20,WN,WN,N744SW,PHX,LAX,1855,1854,-1,1925,1927,2
2020,1,1,3,01/01/20,WN,WN,N947WN,PHX,LAX,1000,1010,10,1030,1039,9
2020,1,1,3,01/01/20,WN,WN,N939WN,PHX,LAX,1545,1547,2,1615,1600,-15
2020,1,1,3,01/01/20,WN,WN,N401WN,RNO,LAX,2110,2105,-5,2235,2225,-10
2020,1,1,3,01/01/20,WN,WN,N559WN,RNO,LAX,1250,1254,4,1420,1416,-4
2020,1,1,3,01/01/20,WN,WN,N7885A,RNO,LAX,545,540,-5,715,652,-23
2020,1,1,3,01/01/20,WN,WN,N424WN,SAT,LAX,2040,2040,0,2200,2156,-4
2020,1,1,3,01/01/20,WN,WN,N934WN,SAT,LAX,805,807,2,925,918,-7
2020,1,1,3,01/01/20,WN,WN,N7733B,SFO,LAX,1815,1819,4,1945,1946,1
2020,1,1,3,01/01/20,WN,WN,N7733B,SFO,LAX,1400,1355,-5,1530,1458,-32
2020,1,1,3,01/01/20,WN,WN,N243WN,SFO,LAX,720,735,15,850,842,-8
2020,1,1,3,01/01/20,WN,WN,N7733B,SFO,LAX,930,925,-5,1105,1047,-18
2020,1,1,3,01/01/20,WN,WN,N292WN,SFO,LAX,2155,2348,113,2320,48,88
2020,1,1,3,01/01/20,WN,WN,N243WN,SFO,LAX,1140,1135,-5,1320,1255,-25
2020,1,1,3,01/01/20,WN,WN,N243WN,SFO,LAX,1605,1604,-1,1735,1721,-14
2020,1,1,3,01/01/20,WN,WN,N243WN,SFO,LAX,2020,2035,15,2150,2153,3
2020,1,1,3,01/01/20,WN,WN,N298WN,SJC,LAX,1545,1541,-4,1700,1646,-14
2020,1,1,3,01/01/20,WN,WN,N8694E,SJC,LAX,2105,2118,13,2220,2216,-4
2020,1,1,3,01/01/20,WN,WN,N8552Z,SJC,LAX,1740,1736,-4,1900,1835,-25
2020,1,1,3,01/01/20,WN,WN,N500WR,SJC,LAX,1105,1115,10,1225,1223,-2
2020,1,1,3,01/01/20,WN,WN,N8670A,SJC,LAX,950,1012,22,1110,1115,5
2020,1,1,3,01/01/20,WN,WN,N7735A,SJC,LAX,2235,2226,-9,2345,2326,-19
2020,1,1,3,01/01/20,WN,WN,N7825A,SJC,LAX,1945,1945,0,2105,2050,-15
2020,1,1,3,01/01/20,WN,WN,N7856A,SJC,LAX,750,749,-1,910,853,-17
2020,1,1,3,01/01/20,WN,WN,N7847A,SLC,LAX,1305,1307,2,1400,1352,-8
2020,1,1,3,01/01/20,WN,WN,N7847A,SLC,LAX,1800,1827,27,1900,1907,7
2020,1,1,3,01/01/20,WN,WN,N560WN,SMF,LAX,1600,1603,3,1725,1719,-6
2020,1,1,3,01/01/20,WN,WN,N777QC,SMF,LAX,1350,1359,9,1520,1507,-13
2020,1,1,3,01/01/20,WN,WN,N7717D,SMF,LAX,645,641,-4,815,758,-17
2020,1,1,3,01/01/20,WN,WN,N474WN,SMF,LAX,2155,2221,26,2315,2333,18
2020,1,1,3,01/01/20,WN,WN,N411WN,SMF,LAX,1110,1121,11,1245,1236,-9
2020,1,1,3,01/01/20,WN,WN,N559WN,SMF,LAX,830,828,-2,1005,940,-25
2020,1,1,3,01/01/20,WN,WN,N564WN,SMF,LAX,1825,1825,0,1950,1937,-13
2020,1,1,3,01/01/20,WN,WN,N926WN,STL,LAX,710,711,1,925,911,-14
2020,1,1,3,01/01/20,WN,WN,N8622A,STL,LAX,1345,1356,11,1605,1537,-28
2020,1,1,3,01/01/20,WN,WN,N8641B,STL,LAX,2115,2114,-1,2330,2310,-20
2020,1,1,3,01/01/20,WN,WN,N8305E,TPA,LAX,1455,1505,10,1730,1733,3
2020,1,1,3,01/01/20,WN,WN,N269WN,TUS,LAX,1755,1756,1,1835,1827,-8
2020,1,1,3,01/01/20,WN,WN,N7863A,TUS,LAX,605,604,-1,645,627,-18
2020,1,1,3,01/01/20,WN,WN,N7889A,TUS,LAX,1135,1134,-1,1220,1205,-15
2020,1,2,4,02/01/20,WN,WN,N7876A,ABQ,LAX,1120,1142,22,1220,1234,14
2020,1,2,4,02/01/20,WN,WN,N769SW,ABQ,LAX,535,600,25,645,649,4
2020,1,2,4,02/01/20,WN,WN,N963WN,ABQ,LAX,2030,2043,13,2135,2135,0
2020,1,2,4,02/01/20,WN,WN,N903WN,ATL,LAX,950,1020,30,1205,1211,6
2020,1,2,4,02/01/20,WN,WN,N298WN,ATL,LAX,615,616,1,820,808,-12
2020,1,2,4,02/01/20,WN,WN,N741SA,ATL,LAX,1615,1730,75,1825,1922,57
2020,1,30,4,30/01/20,WN,WN,N7826B,MSY,LAX,1715,1719,4,1945,1920,-25
2020,1,30,4,30/01/20,WN,WN,N207WN,OAK,LAX,2005,2001,-4,2125,2115,-10
2020,1,30,4,30/01/20,WN,WN,N410WN,OAK,LAX,1000,1001,1,1130,1115,-15
2020,1,30,4,30/01/20,WN,WN,N552WN,OAK,LAX,2100,2055,-5,2225,2202,-23
