YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER,TAIL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY
2020,1,31,5,31/01/20,WN,WN,N479WN,LAX,ABQ,1000,957,-3,1250,1245,-5
2020,1,31,5,31/01/20,WN,WN,N243WN,LAX,ABQ,2150,2143,-7,35,33,-2
2020,1,31,5,31/01/20,WN,WN,N287WN,LAX,ATL,1200,1157,-3,1920,1922,2
2020,1,31,5,31/01/20,WN,WN,N8308K,LAX,ATL,645,642,-3,1350,1402,12
2020,1,31,5,31/01/20,WN,WN,N484WN,LAX,AUS,1955,1948,-7,40,40,0
2020,1,31,5,31/01/20,WN,WN,N272WN,LAX,AUS,805,804,-1,1255,1254,-1
2020,1,31,5,31/01/20,WN,WN,N7865A,LAX,BNA,655,655,0,1240,1257,17
2020,1,31,5,31/01/20,WN,WN,N8600F,LAX,BNA,955,952,-3,1545,1549,4
2020,1,31,5,31/01/20,WN,WN,N453WN,LAX,BNA,1440,1438,-2,2025,2040,15
2020,1,31,5,31/01/20,WN,WN,N8635F,LAX,BWI,1655,1651,-4,35,50,15
2020,1,31,5,31/01/20,WN,WN,N7823A,LAX,BWI,635,635,0,1420,1445,25
2020,1,31,5,31/01/20,WN,WN,N707SA,LAX,BWI,1230,1229,-1,2025,2040,15
2020,1,31,5,31/01/20,WN,WN,N562WN,LAX,DAL,1250,1248,-2,1750,1745,-5
2020,1,31,5,31/01/20,WN,WN,N8631A,LAX,DAL,1625,1625,0,2120,2133,13
2020,1,31,5,31/01/20,WN,WN,N774SW,LAX,DAL,515,516,1,1010,1018,8
2020,1,31,5,31/01/20,WN,WN,N254WN,LAX,DAL,1845,1842,-3,2330,2344,14
2020,1,31,5,31/01/20,WN,WN,N200WN,LAX,DAL,810,819,9,1310,1341,31
2020,1,31,5,31/01/20,WN,WN,N260WN,LAX,DAL,940,949,9,1440,1447,7
2020,1,31,5,31/01/20,WN,WN,N762SW,LAX,DEN,710,713,3,1030,1038,8
2020,1,31,5,31/01/20,WN,WN,N724SW,LAX,DEN,935,941,6,1255,1303,8
2020,1,31,5,31/01/20,WN,WN,N8513F,LAX,DEN,1945,1949,4,2300,2303,3
2020,1,31,5,31/01/20,WN,WN,N8681M,LAX,DEN,1610,1608,-2,1930,1928,-2
2020,1,31,5,31/01/20,WN,WN,N952WN,LAX,DEN,2110,2202,52,20,116,56
2020,1,31,5,31/01/20,WN,WN,N559WN,LAX,DEN,1410,1511,61,1720,1831,71
2020,1,31,5,31/01/20,WN,WN,N7840A,LAX,ELP,1945,1941,-4,2235,2231,-4
2020,1,31,5,31/01/20,WN,WN,N921WN,LAX,ELP,1230,1224,-6,1525,1516,-9
2020,1,31,5,31/01/20,WN,WN,N8619F,LAX,HOU,1830,1829,-1,2330,2335,5
2020,1,31,5,31/01/20,WN,WN,N415WN,LAX,HOU,700,657,-3,1210,1200,-10
2020,1,31,5,31/01/20,WN,WN,N8615E,LAX,HOU,1350,1352,2,1900,1854,-6
2020,1,31,5,31/01/20,WN,WN,N420WN,LAX,HOU,1610,1605,-5,2115,2106,-9
2020,1,31,5,31/01/20,WN,WN,N948WN,LAX,LAS,1505,1514,9,1615,1623,8
2020,1,31,5,31/01/20,WN,WN,N736SA,LAX,LAS,720,718,-2,830,822,-8
2020,1,31,5,31/01/20,WN,WN,N412WN,LAX,LAS,1210,1209,-1,1325,1309,-16
2020,1,31,5,31/01/20,WN,WN,N921WN,LAX,LAS,820,818,-2,930,915,-15
2020,1,31,5,31/01/20,WN,WN,N787SA,LAX,LAS,1835,1835,0,1945,1934,-11
2020,1,31,5,31/01/20,WN,WN,N552WN,LAX,LAS,525,521,-4,635,628,-7
2020,1,31,5,31/01/20,WN,WN,N784SW,LAX,LAS,2120,2113,-7,2230,2212,-18
2020,1,31,5,31/01/20,WN,WN,N481WN,LAX,LAS,1640,1640,0,1750,1738,-12
2020,1,31,5,31/01/20,WN,WN,N7875A,LAX,LAS,1740,1755,15,1850,1900,10
2020,1,31,5,31/01/20,WN,WN,N7881A,LAX,LAS,1105,1103,-2,1215,1215,0
2020,1,31,5,31/01/20,WN,WN,N8691A,LAX,MCI,1355,1351,-4,1900,1914,14
